Car_ID,Brand,Model,Variant,Body_Type,Year,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Engine_CC,Power_BHP,Torque_Nm,Mileage_kmpl,Color,Airbags,Insurance_Type,Service_History,Registration_Type,Previous_Accidents,State,City,Is_Metro_City,Price_Lakhs
1,Maruti,WagonR,Base,Hatchback,2011,14,89929,Petrol,Manual,First Owner,5,1257,83.5,124.5,19.8,Grey,3,Comprehensive,Full Service History,Individual,0,Telangana,Hyderabad,1,1.49
2,Mahindra,XUV700,Top,SUV,2016,9,131004,Petrol,Manual,Fourth & Above Owner,5,1249,100.9,152.4,14.7,Green,5,Comprehensive,Partial Service History,Individual,0,Tamil Nadu,Chennai,1,3.81
3,Honda,WR-V,Mid,SUV,2011,14,120022,Diesel,Manual,First Owner,5,1016,81.8,128.9,20.1,Red,5,Comprehensive,Full Service History,Individual,0,Tamil Nadu,Chennai,1,2.84
4,Mahindra,Scorpio,Mid,SUV,2006,19,191423,Diesel,Manual,First Owner,7,1498,109.5,151.1,19.6,White,3,Comprehensive,Partial Service History,Individual,0,Tamil Nadu,Chennai,1,1.58
5,Jeep,Compass,Base,SUV,2023,2,28213,Diesel,Automatic,First Owner,5,2263,155.7,248.3,20.1,Black,7,Comprehensive,Partial Service History,Individual,2,Madhya Pradesh,Indore,0,38.84
6,Toyota,Yaris,Mid,Sedan,2014,11,151246,Diesel,Manual,Third Owner,5,1645,133.9,184.6,21.3,Grey,2,Expired,Full Service History,Individual,1,Delhi,Delhi,1,3.25
7,Honda,Amaze,Top,Sedan,2009,16,208336,Diesel,Manual,First Owner,5,1617,125.9,196.2,21.7,White,3,Third Party,Full Service History,Individual,0,Kerala,Kochi,0,1.98
8,Maruti,Alto,Mid,Hatchback,2023,2,24177,Petrol,Manual,First Owner,5,1359,109.6,152.6,17.6,Black,3,Comprehensive,No Record,Individual,1,Tamil Nadu,Chennai,1,5.48
9,Tata,Punch,Top,SUV,2020,5,48617,Petrol,Manual,First Owner,7,1029,63.5,89.5,18.6,Silver,1,Comprehensive,Full Service History,Individual,0,Delhi,Delhi,1,5.51
10,Honda,Amaze,Mid,Sedan,2014,11,133223,Petrol,Manual,First Owner,5,1678,101.0,136.6,12.5,White,5,Comprehensive,Full Service History,Individual,0,Rajasthan,Jaipur,0,3.66
11,Volkswagen,Taigun,Base,SUV,2008,17,139685,Petrol,Manual,Second Owner,5,1624,104.5,136.0,16.4,Blue,3,Comprehensive,Full Service History,Individual,0,Telangana,Hyderabad,1,1.75
12,Kia,Seltos,Base,SUV,2010,15,130960,Petrol,Automatic,First Owner,7,1267,81.2,127.6,16.9,White,5,Comprehensive,Partial Service History,Individual,2,Maharashtra,Nagpur,0,1.97
13,Renault,Duster,Mid,SUV,2023,2,20978,Petrol,Automatic,First Owner,7,1200,81.3,106.9,15.2,White,2,Third Party,Full Service History,Company,0,Maharashtra,Nagpur,0,6.37
14,Maruti,Celerio,Mid,Hatchback,2012,13,133621,Petrol,Manual,First Owner,5,1180,76.9,109.9,10.7,Grey,2,Comprehensive,Full Service History,Individual,0,Madhya Pradesh,Bhopal,0,1.55
15,Tata,Nexon,Mid,SUV,2007,18,253867,CNG,Manual,First Owner,7,977,66.4,90.2,18.0,White,2,Third Party,Full Service History,Company,0,West Bengal,Kolkata,1,0.71
16,BMW,5 Series,Top,Sedan,2017,8,62217,Petrol,Automatic,Third Owner,5,2285,146.7,209.4,13.9,Red,5,Comprehensive,Full Service History,Individual,1,Telangana,Hyderabad,1,23.64
17,Hyundai,Verna,Top,Sedan,2007,18,149714,Diesel,Manual,First Owner,5,1158,76.5,110.7,20.3,White,4,Comprehensive,Full Service History,Company,0,Kerala,Kochi,0,1.1
18,Honda,Amaze,Base,Sedan,2023,2,30417,Petrol,Automatic,First Owner,5,1592,120.9,179.9,15.1,White,5,Comprehensive,Partial Service History,Individual,0,Maharashtra,Mumbai,1,12.25
19,Audi,A6,Base,Sedan,2013,12,138289,Petrol,Manual,Third Owner,5,2458,170.2,246.0,20.6,Black,6,Third Party,Partial Service History,Individual,0,Kerala,Kochi,0,8.97
20,Maruti,Swift,Base,Hatchback,2014,11,106044,CNG,Manual,First Owner,5,1028,77.2,121.8,21.3,White,2,Comprehensive,Full Service History,Individual,0,Telangana,Hyderabad,1,1.74
